Herb name in Pinyin,Herb Property,Herb Meridian Tropism,Herb Flavor
AI YE,Warm,"Liver meridian,Spleen meridian,Kidney meridian","Bitter,Pungent"
AN XI XIANG,Warm,"Liver meridian,Spleen meridian,Heart meridian","Bitter,Pungent"
BA JIAO HUI XIANG,Warm,"Spleen meridian,Kidney meridian","Sweet,Pungent"
BA DOU,Hot,"Large intestine meridian,Stomach meridian",Pungent
BA DOU SHUANG,Hot,"Large intestine meridian,Stomach meridian",Pungent
BA JI TIAN,Warm,"Liver meridian,Kidney meridian","Sweet,Pungent"
BA QIA,Even,"Liver meridian,Kidney meridian","Sweet,Astringent,Mildly bitter"
BAI BIAN DOU,Mildly warm,"Spleen meridian,Stomach meridian",Sweet
BAI FU ZI,Warm,"Liver meridian,Stomach meridian",Pungent
BAI GUO,Even,"Lung meridian,Kidney meridian","Sweet,Bitter,Astringent"
BAI JI,Cool,Lung meridian,"Sweet,Bitter"
BAI LIAN,Cool,"Liver meridian,Spleen meridian,Heart meridian","Sweet,Bitter,Pungent"
BAI MAO GEN,Cold,"Lung meridian,Stomach meridian,Small intestine meridianOthers meridian",Sweet
BAI QIAN,Mildly warm,Lung meridian,"Bitter,Pungent"
BAI QU CAI,Cool,"Lung meridian,Stomach meridian",Bitter
BAI SHAO,Mildly cold,"Liver meridian,Spleen meridian","Bitter,Sour"
BAI ZHU,Warm,"Spleen meridian,Stomach meridian","Sweet,Bitter"
BAI TOU WENG,Cold,"Large intestine meridian,Liver meridian,Stomach meridian",Bitter
BAI WEI,Cold,"Liver meridian,Kidney meridian,Stomach meridian","Bitter,Salty"
BAI XIAN PI,Cold,"Bladder meridian,Spleen meridian,Stomach meridian",Bitter
BAI ZHI,Warm,"Large intestine meridian,Lung meridian,Stomach meridian",Pungent
BAI BU,Mildly warm,Lung meridian,"Sweet,Bitter"
BAI HE,Cold,"Lung meridian,Heart meridian",Sweet
BAI ZI REN,Even,"Liver meridian,Spleen meridian,Heart meridian",Sweet
BAN LAN GEN,Cold,"Stomach meridian,Heart meridian",Bitter
BAN BIAN LIAN,Even,"Lung meridian,Small intestine meridian,Heart meridianOthers meridian",Pungent
BAN XIA,Warm,"Spleen meridian,Stomach meridian",Pungent
BAN ZHI LIAN,Cold,"Lung meridian,Liver meridian,Kidney meridian","Bitter,Pungent"
BO HE,Cool,"Liver meridian,Lung meridian",Pungent
BEI DOU GEN,Cold,"Large intestine meridian,Lung meridian,Stomach meridian",Bitter
BEI LIU JI NU,Warm,"Spleen meridian,Heart meridian",Bitter
BEI SHA SHEN,Cool,"Lung meridian,Spleen meridian","Bland,Sweet,Bitter"
BI BO,Hot,"Spleen meridian,Stomach meridian",Pungent
BI CHENG QIE,Warm,"Spleen meridian,Kidney meridian",Pungent
BI MA ZI,Even,"Large intestine meridian,Lung meridian","Sweet,Pungent"
BIAN XU,Mildly cold,Bladder meridian,Bitter
BIN LANG,Warm,"Large intestine meridian,Spleen meridian,Stomach meridian","Bitter,Pungent"
BING PIAN,Cool,"Lung meridian,Heart meridian","Bitter,Pungent"
BU GU ZHI,Warm,Kidney meridian,Pungent
CANG ER ZI,Warm,"Lung meridian,Liver meridian",Sweet
CANG ZHU,Warm,"Spleen meridian,Stomach meridian","Bitter,Pungent"
CAO DOU KOU,Warm,"Spleen meridian,Stomach meridian",Pungent
CAO GUO,Warm,"Spleen meridian,Stomach meridian",Pungent
CAO WU,Hot,"Liver meridian,Spleen meridian,Heart meridian","Bitter,Pungent"
CE BAI YE,Cold,"Large intestine meridian,Liver meridian,Heart meridian","Bitter,Astringent"
CHAI HU,Mildly cold,"Gallbladder meridian,Lung meridian,Liver meridian","Bitter,Pungent"
CHANG SHAN,Cold,"Liver meridian,Spleen meridian","Bitter,Pungent"
CHE QIAN CAO,Cold,"Bladder meridian,Kidney meridian",Sweet
CHE QIAN ZI,Cold,"Bladder meridian,Kidney meridian",Sweet
CHEN XIANG,Warm,"Spleen meridian,Kidney meridian,Stomach meridian","Bitter,Pungent"
CHEN PI,Warm,"Lung meridian,Spleen meridian","Bitter,Pungent"
CHI SHAO,Cool,"Liver meridian,Spleen meridian","Bitter,Sour"
CHI XIAO DOU,Even,"Small intestine meridian,Heart meridianOthers meridian","Sweet,Sour"
CHUAN BEI MU,Cool,Lung meridian,"Sweet,Bitter"
CHUAN LIAN ZI,Cold,"Bladder meridian,Liver meridian,Small intestine meridianOthers meridian",Bitter
CHUAN MU TONG,Cold,"Bladder meridian,Small intestine meridian,Heart meridianOthers meridian",Bitter
CHUAN MU XIANG,Warm,"Large intestine meridian,Gallbladder meridian,Spleen meridian,Stomach meridian","Bitter,Pungent"
CHUAN NIU XI,Even,"Liver meridian,Kidney meridian","Sweet,Bitter,Sour"
CHUAN WU,Hot,"Liver meridian,Spleen meridian,Kidney meridian,Heart meridian","Bitter,Pungent"
CHUAN XIONG,Warm,"Gallbladder meridian,Liver meridian",Pungent
CHUAN SHAN LONG,Mildly cold,"Lung meridian,Liver meridian",Bitter
CHUAN XIN LIAN,Cold,"Bladder meridian,Large intestine meridian,Lung meridian,Heart meridian",Bitter
CHUI PEN CAO,Cool,"Gallbladder meridian,Liver meridian,Small intestine meridianOthers meridian",Sweet
CI WU JIA,Warm,"Spleen meridian,Kidney meridian,Heart meridian","Mildly bitter,Pungent"
DA HUANG,Cold,"Large intestine meridian,Liver meridian,Stomach meridian",Bitter
DA JI,Cool,"Liver meridian,Heart meridian","Sweet,Bitter"
DA QING YE,Cold,"Liver meridian,Stomach meridian,Heart meridian",Bitter
DA SUAN,Warm,"Lung meridian,Spleen meridian,Stomach meridian",Pungent
DA XUE TENG,Even,"Large intestine meridian,Liver meridian",Bitter
DA YE ZI ZHU,Even,"Lung meridian,Liver meridian,Stomach meridian","Bitter,Pungent"
DA ZAO,Warm,"Spleen meridian,Stomach meridian,Heart meridian",Sweet
DA ZAO JIAO,Warm,"Large intestine meridian,Lung meridian","Salty,Pungent"
DAN SHEN,Mildly warm,"Liver meridian,Heart meridian",Bitter
DAN ZHU YE,Cold,"Stomach meridian,Small intestine meridian,Heart meridianOthers meridian","Bland,Sweet"
DANG GUI,Warm,"Liver meridian,Spleen meridian,Heart meridian","Sweet,Pungent"
DANG YAO,Cold,"Large intestine meridian,Liver meridian,Stomach meridian",Bitter
DANG SHEN,Even,"Lung meridian,Spleen meridian",Sweet
DAO DOU,Warm,"Kidney meridian,Stomach meridian",Sweet
DENG XIN CAO,Mildly cold,"Lung meridian,Small intestine meridian,Heart meridianOthers meridian","Bland,Sweet"
DENG ZHAN XI XIN,Warm,"Liver meridian,Heart meridian","Mildly bitter,Pungent"
DI GU PI,Cold,"Liver meridian,Lung meridian",Sweet
DI HUANG,Cool,"Heart meridian, Liver meridian, Kidney meridian","Sweet,Bitter"
DI YU,Mildly cold,"Large intestine meridian,Liver meridian","Bitter,Astringent,Sour"
DIAN QIE CAO,N/A,N/AOthers meridian,"Mildly bitter,Pungent"
DING GONG TENG,Warm,"Liver meridian,Spleen meridian,Stomach meridian",Pungent
DING XIANG,Warm,"Lung meridian,Spleen meridian,Kidney meridian,Stomach meridian",Pungent
DONG GUA PI,Cool,"Spleen meridian,Small intestine meridianOthers meridian",Sweet
DONG LING CAO,Mildly cold,"Lung meridian,Liver meridian,Stomach meridian","Sweet,Bitter"
DOU KOU,Warm,"Lung meridian,Spleen meridian,Stomach meridian",Pungent
DU HUO,Mildly warm,"Bladder meridian,Kidney meridian","Bitter,Pungent"
DU YI WEI,Even,Liver meridian,"Sweet,Bitter"
DU ZHONG,Warm,"Liver meridian,Kidney meridian",Sweet
DU ZHONG YE,Cold,"Liver meridian,Kidney meridian","Sweet,Bitter"
E ZHU,N/A,"Liver meridian,Spleen meridian","Bitter,Pungent"
E BU SHI CAO,Warm,Lung meridian,Pungent
FAN XIE YE,Cold,Large intestine meridian,"Sweet,Bitter"
FANG FENG,Mildly warm,"Bladder meridian,Liver meridian,Spleen meridian","Sweet,Pungent"
FANG JI,Cold,"Bladder meridian,Lung meridian",Bitter
FO SHOU,Warm,"Lung meridian,Liver meridian,Spleen meridian,Stomach meridian","Bitter,Sour,Pungent"
FU LING,Even,"Lung meridian,Spleen meridian,Kidney meridian,Heart meridian","Bland,Sweet"
FU PING,Cold,Lung meridian,Pungent
FU ZI,Great hot,"Spleen meridian,Kidney meridian,Heart meridian","Sweet,Pungent"
FU PEN ZI,Warm,N/AOthers meridian,"Sweet,Sour"
GAN CAO,Even,"Lung meridian,Spleen meridian,Stomach meridian,Heart meridian",Sweet
GAN SONG,Warm,"Spleen meridian,Stomach meridian","Sweet,Pungent"
GAN SUI,Cold,"Large intestine meridian,Lung meridian,Stomach meridian",Bitter
GAN JIANG,Hot,"Lung meridian,Spleen meridian,Kidney meridian,Stomach meridian,Heart meridian",Pungent
GONG BAN GUI,Mildly cold,"Bladder meridian,Lung meridian",Sour
GAO LIANG JIANG,Hot,"Spleen meridian,Stomach meridian",Pungent
GAO BEN,Warm,Bladder meridian,Pungent
GE GEN,Cool,"Lung meridian,Spleen meridian,Stomach meridian","Sweet,Pungent"
GOU TENG,Cool,"Liver meridian,Pericardium meridianOthers meridian",Sweet
GOU GU YE,Even,Stomach meridian,"Bitter,Astringent"
GOU QI ZI,Even,"Liver meridian,Kidney meridian",Sweet
GU JING CAO,Even,"Lung meridian,Liver meridian","Sweet,Pungent"
GU SUI BU,Warm,"Liver meridian,Kidney meridian",Bitter
GUA LOU,Cold,"Large intestine meridian,Lung meridian,Stomach meridian","Sweet,Mildly bitter"
GUANG HUO XIANG,Warm,"Spleen meridian, Stomach meridian, Lung meridian",Pungent
GUANG JIN QIAN CAO,Cool,"Bladder meridian,Liver meridian,Kidney meridian",Sweet
GUI ZHI,Warm,"Bladder meridian,Lung meridian,Heart meridian","Sweet,Pungent"
HAI FENG TENG,Mildly warm,Liver meridian,"Bitter,Pungent"
HAI JIN SHA,Cold,"Bladder meridian,Small intestine meridianOthers meridian","Sweet,Salty"
HAI ZAO （YANG QI CAI ）,Cold,"Liver meridian,Triple burner meridian,Kidney meridian,Stomach meridianOthers meridian","Bitter,Salty"
HE ZI,Even,"Large intestine meridian,Lung meridian","Bitter,Astringent,Sour"
HE HUAN HUA,Even,"Liver meridian,Heart meridian",Sweet
