Unnamed_0,molecular_weight, alogp, logd, molecular_solubility, molecular_volume, molecular_surface_area, molecular_polar_surface_area, num_rotatable_bonds, num_h_acceptors, num_h_donors, adm_absorption_level, adm_bbb_level, adm_bbb, adm_solubility, adm_solubility_level, adm_hepatotoxicity, adm_hepatotoxicity_probability, adm_cyp2d6, adm_cyp2d6_probability, adm_ppb_level, druglikeness_weight,isGreatCold,isCold,isMildlyCold,isCool,isEven,isWarm,isMildlyWarm,isHot,isGreatHot,isLiverMeridian,isSpleenMeridian,isKidneyMeridian,isHeartMeridian,isLargeIntestineMeridian,isStomachMeridian,isLungMeridian,isGallbladderMeridian,isTripleBurnerMeridian,isBladderMeridian,isOthersMeridian,isSmallIntestineMeridian,isPericardiumMeridian,isBitter,isPungent,isSweet,isAstringent,isMildlyBitter,isSalty,isMildlySweet,isSour
1,126.26404,1.976,1.976,-1.242,87.8,129.27,75.9,2.0,3.0,0.0,1.0,1.0,0.457,-1.7480000000000002,4.0,0.0,0.43,0.0,0.059,0.0,0.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,178.35851,3.248,3.248,-3.72,147.14,219.04,50.6,3.0,2.0,0.0,0.0,0.0,0.85,-3.429,3.0,0.0,0.337,0.0,0.059,0.0,0.623,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,398.492,3.343,3.343,-5.836,290.17,394.0,75.99,3.0,5.0,2.0,0.0,2.0,-0.336,-4.413,2.0,0.0,0.45,0.0,0.465,0.0,0.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,438.55586,5.319,5.319,-7.58,321.04,442.0,61.83,5.0,5.0,0.0,0.0,1.0,0.519,-6.695,1.0,0.0,0.264,0.0,0.35600000000000004,2.0,0.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,382.4926,4.734,4.734,-6.23,266.51,378.98,55.76,3.0,4.0,1.0,0.0,1.0,0.424,-5.8420000000000005,2.0,0.0,0.205,0.0,0.386,2.0,0.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,136.23403000000002,2.872,2.872,-2.432,113.53,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7340000000000001,-3.668,3.0,0.0,0.119,0.0,0.059,0.0,0.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,382.4926,5.377999999999999,5.377999999999999,-6.393,266.85,389.31,55.76,6.0,4.0,1.0,0.0,1.0,0.622,-5.66,2.0,0.0,0.35,0.0,0.445,2.0,0.408,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1
8,382.4926,5.377999999999999,5.377999999999999,-6.393,274.74,389.31,55.76,6.0,4.0,1.0,0.0,1.0,0.622,-5.66,2.0,0.0,0.35,0.0,0.445,2.0,0.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,398.492,3.565,3.565,-5.382999999999999,269.25,391.94,75.99,3.0,5.0,2.0,0.0,2.0,-0.267,-4.566,2.0,0.0,0.205,0.0,0.35600000000000004,2.0,0.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,456.52808,3.112,3.112,-5.6960000000000015,309.72,446.83,102.29,5.0,7.0,2.0,0.0,4.0,0.0034031952342269208,-4.299,2.0,1.0,0.509,0.0,0.386,0.0,0.399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
